"Ope Id","Institution Name","Institution City","Institution State","Institution Type And Control","Total Recipients","Total Awards","Year"
"118200","COLLEGE OF THE DESERT","PALM DESERT","CA","Public 2 Year",4829,15442227,"2013-14"
"118300","HOLY NAMES UNIVERSITY","OAKLAND","CA","Private 4 Year",472,1855633,"2013-14"
"118500","COLLEGE OF THE REDWOODS","EUREKA","CA","Public 2 Year",2194,7130691,"2013-14"
"118600","COLLEGE OF THE SEQUOIAS","VISALIA","CA","Public 2 Year",5759,18872075,"2013-14"
"118700","COLLEGE OF THE SISKIYOUS","WEED","CA","Public 2 Year",964,3598308,"2013-14"
"119701","COMPTON COMMUNITY COLLEGE","COMPTON","CA","Public 2 Year",2888,9278865,"2013-14"
"119000","CONTRA COSTA COLLEGE","SAN PABLO","CA","Public 2 Year",2216,7639564,"2013-14"
"119100","DIABLO VALLEY COLLEGE","PLEASANT HILL","CA","Public 2 Year",3707,12891608,"2013-14"
"119200","CUESTA COLLEGE","SAN LUIS OBISPO","CA","Public 2 Year",1898,6478012,"2013-14"
"119300","CYPRESS COLLEGE","CYPRESS","CA","Public 2 Year",5033,17786311,"2013-14"
"119600","DOMINICAN UNIVERSITY OF CALIFORNIA","SAN RAFAEL","CA","Private 4 Year",550,2109823,"2013-14"
"119700","EL CAMINO COLLEGE","TORRANCE","CA","Public 2 Year",8285,26982600,"2013-14"
"119900","FOOTHILL COLLEGE","LOS ALTOS HILLS","CA","Public 2 Year",1547,4969219,"2013-14"
"120100","FULLERTON COLLEGE","FULLERTON","CA","Public 2 Year",6854,24379629,"2013-14"
"120200","GAVILAN COLLEGE","GILROY","CA","Public 2 Year",1857,6010930,"2013-14"
"120300","GLENDALE COMMUNITY COLLEGE","GLENDALE","CA","Public 2 Year",7493,26209272,"2013-14"
"120500","GOLDEN GATE UNIVERSITY","SAN FRANCISCO","CA","Private 4 Year",169,518486,"2013-14"
"120600","GOLDEN WEST COLLEGE","HUNTINGTON BEACH","CA","Public 2 Year",3812,14175203,"2013-14"
"120800","GROSSMONT COLLEGE","EL CAJON","CA","Public 2 Year",4920,16679519,"2013-14"
"120900","HARTNELL COMMUNITY COLLEGE","SALINAS","CA","Public 2 Year",3146,10920944,"2013-14"
"121200","HUMPHREYS COLLEGE","STOCKTON","CA","Private 4 Year",619,2090529,"2013-14"
"121400","IMPERIAL VALLEY COLLEGE","IMPERIAL","CA","Public 2 Year",4720,18147329,"2013-14"
"121500","LA SIERRA UNIVERSITY","RIVERSIDE","CA","Private 4 Year",1136,4750142,"2013-14"
"121600","UNIVERSITY OF LA VERNE","LA VERNE","CA","Private 4 Year",2690,9716807,"2013-14"
"121700","LASSEN COLLEGE","SUSANVILLE","CA","Public 2 Year",445,1657973,"2013-14"
"121800","LOMA LINDA UNIVERSITY","LOMA LINDA","CA","Private 4 Year",463,1915771,"2013-14"
"121900","LONG BEACH CITY COLLEGE","LONG BEACH","CA","Public 2 Year",10909,38080846,"2013-14"
"122000","MASTER'S COLLEGE & SEMINARY (THE)","SANTA CLARITA","CA","Private 4 Year",407,1540267,"2013-14"
"2226000","EAST LOS ANGELES COLLEGE","MONTEREY PARK","CA","Public 2 Year",10811,37544244,"2013-14"
"122300","LOS ANGELES CITY COLLEGE","LOS ANGELES","CA","Public 2 Year",8115,28346389,"2013-14"
"122400","LOS ANGELES HARBOR COLLEGE","WILMINGTON","CA","Public 2 Year",3948,13268706,"2013-14"
"122600","LOS ANGELES PIERCE COLLEGE","WOODLAND HILLS","CA","Public 2 Year",8105,27920030,"2013-14"
"122700","LOS ANGELES TRADE TECH COLLEGE","LOS ANGELES","CA","Public 2 Year",6492,22076150,"2013-14"
"122800","LOS ANGELES VALLEY COLLEGE","VALLEY GLEN","CA","Public 2 Year",7143,24582226,"2013-14"
"122900","SO CA UNIV  HEALTH SCIENCES","WHITTIER","CA","Private 4 Year",6,13385,"2013-14"
"123200","AMERICAN RIVER COLLEGE","SACRAMENTO","CA","Public 2 Year",10173,33744696,"2013-14"
"123300","SACRAMENTO CITY COLLEGE","SACRAMENTO","CA","Public 2 Year",7654,25394300,"2013-14"
"1164900","LOYOLA MARYMOUNT UNIVERSITY","LOS ANGELES","CA","Private 4 Year",1277,5466102,"2013-14"
"123600","MENLO COLLEGE","ATHERTON","CA","Private 4 Year",248,1075634,"2013-14"
"123700","MERCED COMMUNITY COLLEGE","MERCED","CA","Public 2 Year",5986,20694145,"2013-14"
"123800","MILLS COLLEGE","OAKLAND","CA","Private 4 Year",516,2247310,"2013-14"
"123900","MIRACOSTA COLLEGE","OCEANSIDE","CA","Public 2 Year",2545,8988139,"2013-14"
"124000","MODESTO JUNIOR COLLEGE","MODESTO","CA","Public 2 Year",8495,28161156,"2013-14"
"369110","MIDDLEBURY COLLEGE - MONTEREY INSTITUTE","MONTEREY","CA","Private 4 Year",7,30946,"2013-14"
"124200","MONTEREY PENINSULA COLLEGE","MONTEREY","CA","Public 2 Year",1576,5220951,"2013-14"
"124300","MOUNT ST MARYS COLLEGE","LOS ANGELES","CA","Private 4 Year",1634,6767426,"2013-14"
"124500","MT. SAN ANTONIO COLLEGE","WALNUT","CA","Public 2 Year",12359,42251962,"2013-14"
"124600","MT SAN JACINTO COLLEGE","SAN JACINTO","CA","Public 2 Year",7086,20610739,"2013-14"
"124700","NAPA VALLEY COLLEGE","NAPA","CA","Public 2 Year",1844,6307293,"2013-14"
"124900","OCCIDENTAL COLLEGE","LOS ANGELES","CA","Private 4 Year",457,1942503,"2013-14"
"125000","ORANGE COAST COLLEGE - FIN AID OFF","COSTA MESA","CA","Public 2 Year",5617,20798577,"2013-14"
"125100","OTIS COLLEGE OF ART AND DESIGN","LOS ANGELES","CA","Private 4 Year",504,2382605,"2013-14"
"125200","HOPE INTERNATIONAL UNIVERSITY","FULLERTON","CA","Private 4 Year",485,1833029,"2013-14"
"125300","FRESNO PACIFIC UNIVERSITY","FRESNO","CA","Private 4 Year",1760,6546985,"2013-14"
"125500","PACIFIC OAKS COLLEGE","PASADENA","CA","Private 4 Year",342,997035,"2013-14"
"125800","PACIFIC UNION COLLEGE","ANGWIN","CA","Private 4 Year",737,3014194,"2013-14"
"125900","PALO VERDE COLLEGE","BLYTHE","CA","Public 2 Year",373,1231719,"2013-14"
"126000","PALOMAR COLLEGE","SAN MARCOS","CA","Public 2 Year",4885,17058749,"2013-14"
"126100","PASADENA CITY COLLEGE","PASADENA","CA","Public 2 Year",7717,29408676,"2013-14"
"126200","POINT LOMA NAZARENE UNIVERSITY","SAN DIEGO","CA","Private 4 Year",712,3043965,"2013-14"
"1014900","PEPPERDINE UNIVERSITY","MALIBU","CA","Private 4 Year",870,3661990,"2013-14"
"126600","LANEY COLLEGE","OAKLAND","CA","Public 2 Year",3633,13171363,"2013-14"
"126700","MERRITT COLLEGE","OAKLAND","CA","Public 2 Year",1949,6933690,"2013-14"
"126800","PORTERVILLE COLLEGE","PORTERVILLE","CA","Public 2 Year",2528,8839776,"2013-14"
"126900","RIO HONDO COLLEGE","WHITTIER","CA","Public 2 Year",5367,17854588,"2013-14"
"127000","RIVERSIDE CITY COLLEGE","RIVERSIDE","CA","Public 2 Year",7909,23721722,"2013-14"
"127200","SAN BERNARDINO VALLEY COLLEGE","SAN BERNARDINO","CA","Public 2 Year",5891,20139960,"2013-14"
"127300","SAN DIEGO CITY COLLEGE","SAN DIEGO","CA","Public 2 Year",6676,24085786,"2013-14"
"127500","SAN DIEGO MESA COLLEGE","SAN DIEGO","CA","Public 2 Year",5269,19547774,"2013-14"
"127800","SAN FRANCISCO CONSERVATORY OF MUSIC","SAN FRANCISCO","CA","Private 4 Year",59,273333,"2013-14"
"128000","SAN JOAQUIN DELTA COLLEGE","STOCKTON","CA","Public 2 Year",8323,28930985,"2013-14"
"128100","WILLIAM JESSUP UNIVERSITY","ROCKLIN","CA","Private 4 Year",512,2015297,"2013-14"
"128200","SAN JOSE CITY COLLEGE","SAN JOSE","CA","Public 2 Year",2249,7902214,"2013-14"
"128400","SANTA ANA COLLEGE","SANTA ANA","CA","Public 2 Year",4370,14716752,"2013-14"
"128500","SANTA BARBARA CITY COLLEGE","SANTA BARBARA","CA","Public 2 Year",5189,18277774,"2013-14"
"128600","SANTA MONICA COLLEGE","SANTA MONICA","CA","Public 2 Year",8511,29361041,"2013-14"
"128700","SANTA ROSA JUNIOR COLLEGE","SANTA ROSA","CA","Public 2 Year",4598,15761552,"2013-14"
"128900","SHASTA COLLEGE","REDDING","CA","Public 2 Year",3804,13692944,"2013-14"
"129000","SIERRA COLLEGE","ROCKLIN","CA","Public 2 Year",7249,24408936,"2013-14"
"129100","SIMPSON UNIVERSITY","REDDING","CA","Private 4 Year",688,2640932,"2013-14"
"129200","SOLANO COMMUNITY COLLEGE","FAIRFIELD","CA","Public 2 Year",3089,9363588,"2013-14"
"129300","VANGUARD UNIVERSITY OF SOUTHERN CA","COSTA MESA","CA","Private 4 Year",907,3613323,"2013-14"
"129400","SOUTHWESTERN COLLEGE","CHULA VISTA","CA","Public 2 Year",6536,24843037,"2013-14"
"130200","SAINT MARY'S COLLEGE OF CALIFORNIA","MORAGA","CA","Private 4 Year",899,3675849,"2013-14"
"130500","STANFORD UNIVERSITY","STANFORD","CA","Private 4 Year",1088,4661415,"2013-14"
"130700","FRESNO CITY COLLEGE","FRESNO","CA","Public 2 Year",10540,35510037,"2013-14"
"130800","REEDLEY COLLEGE","REEDLEY","CA","Public 2 Year",5184,17873422,"2013-14"
"130900","TAFT COLLEGE","TAFT","CA","Public 2 Year",1261,4155241,"2013-14"
"131200","UNIVERSITY OF CALIFORNIA, BERKELEY","BERKELEY","CA","Public 4 Year",9091,38911956,"2013-14"
"131300","UNIVERSITY OF CALIFORNIA-DAVIS","DAVIS","CA","Public 4 Year",11488,50909236,"2013-14"
"131400","UNIVERSITY OF CALIFORNIA-IRVINE","IRVINE","CA","Public 4 Year",10945,50097299,"2013-14"
"131500","UNIVERSITY OF CALIFORNIA (UCLA)","LOS ANGELES","CA","Public 4 Year",11026,48245055,"2013-14"
"131600","UNIVERSITY OF CALIFORNIA-RIVERSIDE","RIVERSIDE","CA","Public 4 Year",11165,50019929,"2013-14"
"131700","UNIVERSITY OF CALIFORNIA-SAN DIEGO","LA JOLLA","CA","Public 4 Year",9684,43598556,"2013-14"
"132000","UNIVERSITY OF CALIFORNIA-SANTA BARB","SANTA BARBARA","CA","Public 4 Year",7616,34077272,"2013-14"
"132100","UNIVERSITY OF CALIFORNIA-SANTA CRUZ","SANTA CRUZ","CA","Public 4 Year",7326,32938364,"2013-14"
"132200","UNIVERSITY OF REDLANDS","REDLANDS","CA","Private 4 Year",1363,5128424,"2013-14"
"132500","UNIVERSITY OF SAN FRANCISCO","SAN FRANCISCO","CA","Private 4 Year",1724,7140289,"2013-14"
"132600","SANTA CLARA UNIVERSITY","SANTA CLARA","CA","Private 4 Year",735,3063037,"2013-14"
"132800","UNIVERSITY OF SOUTHERN CALIFORNIA","LOS ANGELES","CA","Private 4 Year",4532,19602827,"2013-14"
"132900","UNIVERSITY OF THE PACIFIC","STOCKTON","CA","Private 4 Year",1588,7003195,"2013-14"
"133400","VENTURA COLLEGE","VENTURA","CA","Public 2 Year",3989,13734368,"2013-14"
"133500","VICTOR VALLEY COLLEGE","VICTORVILLE","CA","Public 2 Year",6317,22080719,"2013-14"
"133800","WEST VALLEY COLLEGE","SARATOGA","CA","Public 2 Year",1743,5606186,"2013-14"
"133900","CORBAN UNIVERSITY","SALEM","OR","Private 4 Year",387,1574081,"2013-14"
"134100","WESTMONT COLLEGE","SANTA BARBARA","CA","Private 4 Year",271,1113579,"2013-14"
"134200","WHITTIER COLLEGE","WHITTIER","CA","Private 4 Year",647,2848923,"2013-14"
"134300","WOODBURY UNIVERSITY","BURBANK","CA","Private 4 Year",696,3012749,"2013-14"
"134400","YUBA COLLEGE","MARYSVILLE","CA","Public 2 Year",3711,12163107,"2013-14"
"134500","ADAMS STATE COLLEGE","ALAMOSA","CO","Public 4 Year",1294,5152547,"2013-14"
"134600","ARAPAHOE COMMUNITY COLLEGE","LITTLETON","CO","Public 2 Year",3281,9475186,"2013-14"
"134700","COLORADO COLLEGE","COLORADO SPRINGS","CO","Private 4 Year",203,909256,"2013-14"
"134800","COLORADO SCHOOL OF MINES","GOLDEN","CO","Public 4 Year",751,3055647,"2013-14"
"134900","UNIVERSITY OF NORTHERN COLORADO","GREELEY","CO","Public 4 Year",3309,13103765,"2013-14"
"135000","COLORADO STATE UNIVERSITY","FORT COLLINS","CO","Public 4 Year",5769,22731167,"2013-14"
"135300","FORT LEWIS COLLEGE","DURANGO","CO","Public 4 Year",1388,5676877,"2013-14"
"135500","LAMAR COMMUNITY COLLEGE","LAMAR","CO","Public 2 Year",355,1253289,"2013-14"
"135800","COLORADO MESA UNIVERSITY","GRAND JUNCTION","CO","Public 4 Year",3968,15161272,"2013-14"
"135900","COLORADO NORTHWESTERN COMMUNITY COLLEGE","RANGELY","CO","Public 2 Year",318,1147933,"2013-14"
"136000","METROPOLITAN STATE UNIVERSITY OF DENVER","DENVER","CO","Public 4 Year",9517,32600585,"2013-14"
"136100","NORTHEASTERN JUNIOR COLLEGE","STERLING","CO","Public 2 Year",675,2513083,"2013-14"
